,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,9144.47470001,1521007200,9180,9144.12320826,9169.636872,7.38666137,67672.67049984,9161.46918209
1,9148.78540002,1521007500,9173.47268145,9145.8911,9164.6312739,5.8272777,53383.71915487,9161.0048299
2,9170.67229875,1521007800,9170.67229876,9135.6076,9154.49170002,31.3831134,287108.52475493,9148.5035629
3,9175.76629967,1521008100,9175.7663,9160.99999999,9160.99999999,2.15733561,19774.34118486,9166.09408995
4,9149.70080687,1521008400,9175.76629964,9142.5605976,9170.7663,19.23073391,176214.83647379,9163.18832648
5,9149.99999996,1521008700,9168.47202532,9134.60420017,9149.70080759,23.3760642,214182.58269321,9162.47409575
6,9141.49999997,1521009000,9168.47202416,9135.13360021,9136.83250013,18.24579248,167027.71730411,9154.31420625
7,9144.52973908,1521009300,9153.2295525,9132.00000033,9135.13360024,13.73782417,125671.76494683,9147.86529451
8,9113,1521009600,9153.22955249,9113,9144.52973908,25.34520047,231671.26934836,9140.63669066
9,9105.02180629,1521009900,9121.84774729,9100,9121.84774729,13.01229235,118476.66896458,9104.9805659
10,9127.00000075,1521010200,9141.22959991,9105.02180642,9105.02180642,5.11503062,46640.44775864,9118.31252315
11,9151.91510299,1521010500,9167,9127.00000243,9127.00000243,0.80684696,7378.8602279,9145.30337687
12,9151.00000044,1521010800,9167,9151.00000044,9161.0670182,1.36801188,12532.86693101,9161.37287565
13,9141.53470956,1521011100,9162.26109991,9141.53470944,9151.00001607,1.02427864,9366.39997598,9144.38670319
14,9141.53472284,1521011400,9154.31769993,9141.53470942,9154.31769993,1.17211759,10723.33267117,9148.68334257
15,9152.93050942,1521011700,9164.2470999,9141.53472284,9141.53472284,0.6292782,5758.34141072,9150.70855898
16,9157.00001762,1521012000,9167,9152.93051652,9152.93051652,5.04636073,46213.57507026,9157.80253193
17,9141.53471149,1521012300,9166.9999998,9141.53471149,9166.9999998,2.304543,21092.5082011,9152.57740953
18,9128.99999979,1521012600,9154.27429988,9115.00000048,9154.27429988,9.81388596,89659.51072111,9135.98457191
19,9118.8185013,1521012900,9130.64859528,9115,9128.9999998,5.51922246,50364.76089387,9125.33626953
